абажурный,2
красивый,55754
светлый,5548
аббатский,2
внутренний,3302
горький,259
абиссинский,-1
плохой,8299
абонементный,0
княжеский,30
летний,2505
абонентский,1
мобильный,435
аборигенный,2
местный,25060
небольшой,24102
аборигенский,6
изрядный,237
курортный,1912
легковой,73
общий,22462
приставучий,329
туристический,3505
узкий,10928
хороший,104949
абразивный,2
неровный,162
подходящий,657
абрикосовый,357
айвовый,23
ананасовый,690
апельсиновый,3526
банановый,1098
белый,18782
бесплатный,17976
больший,50306
большой,91737
бутербродный,53
ванильный,592
вареный,5255
виноградный,273
витаминовый,8
вишневый,654
вкусный,43818
вместительный,593
воздушный,567
вчерашний,465
горный,2615
горячий,13646
гранатовый,472
грушевый,60
детский,31670
домашний,3191
европейский,6123
ежевичный,103
жареный,6320
животный,1794
заливной,67
заливный,67
зелененький,184
зеленый,28996
земляничный,8
зерновой,108
золотистый,295
инжирный,42
картофельный,1282
кизиловый,12
кислый,1378
классический,986
клубничный,921
клюквенный,28
короткий,2583
кукурузный,722
кусковой,65
кустовой,5
лепестковый,20
лимонный,887
литровый,341
любимый,2237
маленький,43216
малиновый,151
медовый,569
мировой,668
молотый,101
молочный,1915
морковный,336
мороженный,2900
мягкий,5842
наглый,1429
натуральный,2147
немой,978
неожиданный,822
неплохой,13168
обычный,11878
овощной,3047
оливковый,1919
основной,31118
основный,31137
острый,3196
отвратный,325
отличный,33499
очаровательный,796
персиковый,532
печеный,934
пирожный,3127
плавленый,301
приличный,12293
продуктовый,1179
прозрачный,6692
простой,33807
прямой,7437
различный,8546
разнообразный,23679
разный,24089
растворимый,615
розовый,3553
роскошный,1313
российский,2857
сахарный,268
свадебный,430
свежий,14875
святой,1407
серый,1647
сладкий,6574
следующий,7750
сливовый,98
сливочный,726
слоеный,528
соевый,1214
соковый,392
соленый,2810
стандартный,8204
стеклянный,2271
сухой,5522
сырой,3808
твердый,1295
теплый,19415
томатный,1579
тортовый,104
треугольный,86
тропический,1513
турецкий,15634
тутовый,22
тушеный,4995
ужиный,6547
фиговый,87
финиковый,351
французский,5293
фруктовый,5119
фунтовый,560
холодный,9883
целый,19098
цитрусовый,261
черешневый,30
черный,5623
шведский,9062
шоколадный,2161
яблочный,1367
ягодный,190
абсолютный,3162
адекватный,1327
адриатический,163
аккуратненький,571
аккуратный,5876
активный,3519
актуальный,254
амебный,10
английский,15279
арабский,3152
аристократический,30
архитектурный,735
аутентичный,159
африканский,403
банальный,363
бассейный,5840
безболезненный,45
безбоязненный,16
безвкусный,574
безвозмездный,30
бездарный,71
бездумный,24
беззвучный,10
безлюдный,423
безнаказанный,21
безобидный,205
безопасный,1352
безразличный,120
безумный,1622
безупречный,444
безусловный,465
безучастный,14
белоснежный,2163
бесконечный,1029
бескорыстный,51
бесполезный,417
беспрепятственный,68
бессмысленный,126
бестолковый,370
бесценный,48
бесшумный,314
благой,1340
благонадежный,3
блестящий,242
близкий,8614
болгарский,1606
болезненный,117
больной,855
бравый,82
буквальный,1580
бурный,716
бывалый,800
быстренький,340
быстрый,13193
бюджетный,862
важный,1356
ванный,14722
вежливый,12932
великолепный,5534
венный,25
верный,350
вероятный,405
веселый,12447
вечный,1138
вещий,2481
взаимосвязанный,-1
видимый,4539
видный,3094
византийский,157
влажный,1485
вменяемый,360
внезапный,198
внешний,1644
внимательный,8052
внятный,141
водный,10213
возможный,2617
волшебный,883
вороватый,14
воспитанный,651
восточный,3466
восхитительный,651
восхищенный,54
вразумительный,42
выгодный,632
вынужденный,86
выраженный,148
выходной,1988
гарантированный,144
герметичный,28
главный,20565
гладкий,588
глубокий,2648
глупый,425
глухой,231
грамотный,1132
греческий,4476
громкий,2259
громогласный,47
грубый,741
грустный,573
грязный,6223
гуманный,31
густой,768
далекий,7375
дальнейший,794
дальний,1554
двухместный,1906
дежурный,339
действительный,6958
деликатный,171
деловитый,23
демократичный,549
демонстративный,82
дешевый,8715
дикий,3165
добровольный,50
доброжелательный,11128
добросердечный,9
добрый,4909
довольный,12729
долгий,7453
должный,1555
дополнительный,3162
допустимый,29
дорогой,8300
доскональный,48
достаточный,15224
достоверный,64
достойный,4440
доступный,1003
доходчивый,90
дружелюбный,6918
дружный,618
душевный,1313
душевой,4068
душный,1565
единственный,13944
единый,802
ежедневный,4309
естественный,2534
жадный,246
жалкий,791
жаркий,3437
желтый,3019
жестокий,106
живой,5096
жуткий,2113
забавный,1522
заботливый,1024
зависимый,-121
загадочный,364
зажигательный,776
законный,92
закрытый,4418
заметный,452
замечательный,12757
западноберлинский,1
заплечный,1
затруднительный,82
захватывающий,346
здоровый,2946
здравый,94
зеркальный,342
злой,910
знакомый,2364
знаменитый,1845
значительный,1004
зрительный,100
игривый,28
идеальный,1730
идентичный,70
известный,2084
извилистый,486
излишний,229
изначальный,748
изумрудный,555
изысканный,560
именитый,30
индивидуальный,2302
индийский,1752
индифферентный,2
интеллигентный,634
интересный,15362
информативный,183
исключительный,880
искренний,755
испанский,2575
испорченный,318
исправный,1061
истинный,223
итальянский,13836
капитальный,170
карнавальный,23
касательный,119
катастрофический,38
качественный,7431
классный,4490
клятвенный,37
колоссальный,92
колючий,196
компактный,1651
комфортный,6525
конечный,16584
конкретный,787
контрольный,19
корректный,736
кошмарный,133
крайний,4809
красный,14060
красочный,1067
краткий,698
кристальный,330
критичный,18
кромешный,42
крохотный,549
круглосуточный,1470
крупный,4182
крытый,2874
кубинский,406
культурный,1834
ладный,701
ласковый,2375
левосторонний,125
легальный,14
легкий,5194
ледяной,764
лежалый,143
личный,4061
лишенный,76
лысоватый,17
любезный,1351
любопытный,263
людный,178
максимальный,736
малый,12041
мгновенный,286
медикаментозный,4
медленный,1260
международный,958
меланхоличный,22
мелкий,11606
мелковатый,95
мерзкий,344
милый,8169
минимальный,832
мирный,537
многолюдный,325
многочисленный,1938
мокрый,1125
молниеносный,55
молодой,7373
молчаливый,86
моментальный,309
монотонный,93
моральный,371
мрачный,440
навязчивый,-26
надежный,422
назойливый,233
намеренный,28
напрасный,62
напряженный,182
населенный,903
настойчивый,380
насыщенный,1120
неадекватный,173
неважный,307
невежливый,89
невероятный,896
невзрачный,141
невкусный,1365
невнимательный,85
невнятный,142
невозможный,2767
невозмутимый,71
невольный,113
невыгодный,84
неглубокий,544
недалекий,2777
недешевый,354
недоверчивый,23
недолгий,423
недопустимый,47
недоразвитый,22
недорогой,5288
нежный,1460
независимый,456
незаметный,1005
незаслуженный,21
незнакомый,368
неизбежный,96
неизвестный,707
неинтересный,517
нейтральный,105
неконструктивный,5
некритичный,0
нелепый,155
немалый,551
немецкий,10232
ненавязчивый,3417
необоснованный,54
необходимый,4535
необыкновенный,1002
необычайный,215
необычный,2130
необязательный,123
неоднократный,408
неоправданный,132
неопытный,67
непедагогичный,2
неподвижный,40
неподдельный,72
непонятный,2221
непопулярный,19
непосредственный,1034
неправильный,310
непрактичный,6
непредсказуемый,57
непременный,270
непрестанный,8
непривычный,363
неприемлемый,27
непринужденный,260
неприятный,3342
непроглядный,5
непроходимый,32
неработающий,334
нереальный,978
нерегулярный,56
нерукотворный,14
нерусский,68
несвязный,7
неспешный,629
нестрашный,53
несъедобный,465
неуважительный,35
неудивительный,70
неудобный,2386
неуместный,31
новый,20883
номерной,765
нормальный,19578
ночной,5500
нудный,379
нужный,9668
обидный,581
обильный,1384
облачный,180
обособленный,111
обоюдный,7
образный,105
обратный,6724
обслуживающий,5031
обшарпанный,195
объективный,580
обязательный,4448
оглушительный,46
огуречный,47
одинаковый,2616
одновременный,640
однозначный,510
однообразный,2547
ожидающий,98
окончательный,263
окружающий,688
опасный,869
оперативный,1041
оптимальный,516
организованный,1213
органичный,57
особенный,14147
особый,6009
осознанный,40
осторожный,473
отвратительный,2067
отдельный,10515
отельный,4262
отечественный,329
отзывчивый,5300
откровенный,842
открытый,9804
отменный,827
относительный,2005
отрешенный,16
официальный,647
охотный,170
очевидный,325
очередной,1232
ощутимый,201
параллельный,332
пасмурный,468
пенсионный,395
первоначальный,207
песочный,1939
песчаный,11478
печальный,293
плавный,1128
плановый,19
пластиковый,3278
платный,7154
плодотворный,17
плотный,1246
пляжный,8734
поверхностный,76
повсеместный,141
поганый,84
погодный,81
подземный,1020
подобающий,30
подобранный,86
подозрительный,208
подробный,1635
пожилой,2713
позитивный,2241
познавательный,873
полезный,1712
полинялый,-4
полноценный,1584
полный,9883
пологий,2442
положенный,624
полый,1918
полярный,44
помпезный,269
понятный,1502
попутный,139
посадочный,369
посаженый,18
